nouns,noun_tag,verbs,verb_tag,adjectives,adjective_tag,adverbs,adverb_tag,pronouns,pronoun_tag,prepositions,preposition_tag,determiners,determiner_tag,conjunctions,conjunction_tag,numerals,numeral_tag,modals,modal_tag,interjections,interjection_tag,tos,to_tag,wh_determiners,wh_determiner_tag,wh_pronouns,wh_pronoun_tag
Promise,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Forty,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pl,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ironic,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Resentment,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Interior,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
DVD,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Intervention,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Cop,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Taz,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Lookin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocaine,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicidal,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Leader,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Porcelain,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiptoein,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Up,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sag,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Imagine,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Tears,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sippin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Aight,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretty,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hang,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Promises,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Fear,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Yep,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hol,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Floss,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Way,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fillin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptation,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hate,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimmy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pivotin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Got,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Laughin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Say,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuck,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Compton,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Light,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Door,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Momma,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquors,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullet,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Backbone,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Soprano,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Had,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Yesterday,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullshit,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Peelin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Braggin,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Goddammit,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Things,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Move,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bars,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Candy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Tables,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumb,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherm,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeotch,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
C,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Drill,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Trippin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
God,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Money,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Keisha,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
May,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Contributin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Faded,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Choice,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Woop,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dear,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoochie,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Daughter,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Registration,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Friends,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Bla,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Tired,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Burner,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherfucker,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Happiness,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Young,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sip,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pass,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Titty,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Poverty,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Wile,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
None,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Abre,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hennessy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Kama,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sit,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Church,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Road,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Leave,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Came,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Teenage,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Hell,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Who,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Said,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Threes,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Master,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Go,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Gon,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fightin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Race,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluck,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Park,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Stickin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Life,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunt,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Drank,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Al,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Handle,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Recognize,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Career,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Asians,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cause,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Scared,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Buzzin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodgin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dope,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Fill,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotboxin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Askin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Critics,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Brace,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Drove,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Trees,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipstick,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Playstation,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigger,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Murphy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Keep,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Be,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
First,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Toward,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Gang,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Years,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamonds,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Roses,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazaam,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ugh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Yan,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Told,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Kick,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Anythin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Shit,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pool,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreams,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Know,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hop,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
K9s,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Reality,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Music,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
New,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonshine,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sittin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Caught,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitches,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Offstage,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Runnin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Less,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulletproof,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Wait,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Beefin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Huh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Havin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Flex,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Look,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoga,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecstasy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrooge,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilt,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Tires,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Finesse,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullshittin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pull,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Aw,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pray,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Make,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Scum,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Sick,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fell,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Es,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
R,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Mom,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Moosa,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Whoa,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoppin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Kept,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Finna,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungry,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Passin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Exac,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Beg,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Doesn,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Twelve,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornrow,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Man,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Been,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Goin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Homie,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoom,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Genital,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cut,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuck,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Them,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Tossin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dip,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiiigher,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Security,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Livin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Smiles,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Skip,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Interviews,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Track,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducky,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Prognosis,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Sippin,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Shades,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Somethin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Yo,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Seem,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribbon,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunt,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Better,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ass,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Lust,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Money,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Platinum,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Damn,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pit,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominicans,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannonballs,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Isn,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Circlin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Boy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Record,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Undercovers,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyes,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Speakin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Til,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Juice,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherfucker,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Searchin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
i,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Slick,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pass,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Backstroke,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Peace,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Air,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Uh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hustlin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
OG,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Nights,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
World,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Parallel,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
America,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitch,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Hennessey,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sound,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Judgin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Checkin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Jump,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunch,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaki,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Ill,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Streets,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawsuit,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscle,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bet,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartbeat,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumors,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Trip,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Thinking,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Anybody,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Mama,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentleys,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pay,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Wings,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Retraced,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Might,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Drugs,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Me,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberation,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropped,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Race,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
L,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Stewardess,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Yeah,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Meditation,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbulence,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Gather,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bring,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Complexion,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Too,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamblin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
